country_name,country_code,year_1961,year_1962,year_1963,year_1964,year_1965,year_1966,year_1967,year_1968,year_1969,year_1970,year_1971,year_1972,year_1973,year_1974,year_1975,year_1976,year_1977,year_1978,year_1979,year_1980,year_1981,year_1982,year_1983,year_1984,year_1985,year_1986,year_1987,year_1988,year_1989,year_1990,year_1991,year_1992,year_1993,year_1994,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019
Mongolia,MNG,,,,,,,,,,,,,,,,,,,,,,8.34214,5.83404,5.93342,5.71287,9.37499,3.45865,5.10797,4.1782,-3.18446,-8.69354,-9.25647,-3.16879,2.13438,6.37643,2.23509,3.89671,3.33994,3.07037,1.14606,2.95271,4.73298,7.00463,10.62541,7.25367,8.55623,10.24802,8.90037,-1.2686,6.36516,17.29078,12.31982,11.64892,7.88523,2.37984,1.16839,5.33704,7.24663,5.15907
Northern Mariana Islands,MNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40844,-3.11864,-12.6662,-6.89103,-6.71256,-11.07011,-17.53112,1.38365,-7.69231,0.53763,2.40642,3.7859,3.52201,28.31106,25.56818,-19.60784,
Mozambique,MOZ,,,,,,,,,,,,,,,,,,,,,5.0,-6.9,-15.7,-6.5,1.0,-2.3,14.7,8.2,6.5,0.99999,4.92545,-6.12472,10.59853,6.5334,2.25976,11.20252,11.30107,9.93125,11.69852,1.1803,12.08687,9.29105,6.87853,7.91641,6.64591,9.69437,7.72975,7.31776,6.3182,6.50235,7.41738,7.25844,6.96361,7.39851,6.72328,3.82421,3.74132,3.44381,2.2836
Mauritania,MRT,,0.72661,-1.98377,27.69089,16.13833,0.23096,3.56713,10.19644,1.24853,11.98593,1.84289,-0.73291,-4.58476,12.16261,-5.13437,8.5461,-1.87859,-0.50471,4.79004,3.37121,3.45029,-2.33992,3.73534,-3.22686,2.99476,5.71358,1.90038,1.7204,4.77759,-1.7713,1.78809,1.87413,5.87364,-3.06073,9.8198,5.81883,-4.0447,2.7778,3.67318,-3.91803,-0.79949,1.38148,6.92827,4.73276,8.56629,18.3332,-1.96942,-0.33108,0.09788,2.62023,4.17278,4.47001,4.15081,4.27482,5.37634,1.26091,3.49718,2.11527,5.93144
Mauritius,MUS,,,,,,,,,,,,,,,,,6.54762,3.83081,3.51653,-10.06126,5.88235,5.49708,0.3838,4.69839,6.95448,9.74203,8.89104,6.79135,4.46515,7.18674,4.43545,6.5127,5.08206,4.13614,4.28774,5.58784,5.68748,6.07194,2.61093,8.20279,3.34754,1.61492,5.92545,4.33002,1.77754,4.86554,5.72702,5.38696,3.31508,4.3772,4.07754,3.49612,3.36041,3.74458,3.55307,3.83793,3.81415,3.75968,3.01476
Malawi,MWI,7.6396,0.66836,-1.39108,2.6611,13.61649,13.24904,7.28155,-1.92308,5.88236,0.4793,16.21856,6.23135,2.30066,7.17596,6.08682,4.99773,4.91803,9.74507,4.39615,0.40675,-5.29012,2.50345,3.71871,5.3603,4.57098,-0.2148,1.62524,3.17729,1.34469,5.69229,8.73023,-7.33298,9.69184,-10.24018,16.72882,7.31668,3.79242,3.89525,3.04228,1.57608,-4.97496,1.7,5.70564,5.4205,3.26873,4.7,9.6,7.63974,8.32811,6.87407,4.85406,1.8858,5.2,5.7,2.8,2.48404,4.00003,3.17,4.36924
Malaysia,MYS,7.59799,6.42103,7.3388,5.35896,7.68486,7.81671,3.85715,7.97799,4.88853,5.98654,10.03466,9.38844,11.70108,8.31866,0.80107,11.56349,7.75306,6.65389,9.3491,7.44183,6.9421,5.94315,6.25223,7.76179,-1.02525,1.24059,5.19193,9.93772,9.0596,9.00853,9.54547,8.88512,9.89494,9.21204,9.82909,10.0027,7.32274,-7.35942,6.13761,8.85887,0.51768,5.39099,5.7885,6.78344,5.33214,5.58485,6.29879,4.83177,-1.51353,7.42485,5.29391,5.47345,4.69372,6.00672,5.09153,4.44978,5.81272,4.76993,4.30282
North America,NAC,2.37415,6.21243,4.48055,5.87559,6.39198,6.52134,2.55686,4.81589,3.27212,0.78424,3.36104,5.28228,5.76341,-0.15129,-0.02819,5.44231,4.49769,5.33662,3.22255,0.00057,2.63802,-1.9544,4.37099,7.09379,4.22556,3.32674,3.52293,4.20114,3.53039,1.7085,-0.30965,3.26065,2.74403,4.07251,2.68593,3.5625,3.65558,4.33195,4.68437,4.19809,1.03654,1.88741,2.9459,3.80856,3.64546,2.97529,2.33592,-0.02746,-2.5761,2.61246,1.70374,2.19869,1.88911,2.55773,2.68513,1.57547,2.44732,2.83766,2.11206
Namibia,NAM,,,,,,,,,,,,,,,,,,,,,0.97145,-0.39809,-1.82345,-0.23689,0.46417,4.76727,3.55377,0.81315,1.85867,2.04746,8.16561,7.18934,-1.57954,1.72988,3.89901,3.19132,4.2201,3.29159,3.36928,3.49218,1.17795,4.78866,4.23979,12.26955,2.52926,7.07318,5.37404,2.64981,0.29597,6.03925,5.09134,5.06168,5.61472,5.75779,4.52677,-0.28071,-0.25627,0.69837,-1.1341
New Caledonia,NCL,,,,,,-3.84858,5.40079,14.26255,15.71631,30.99929,6.99922,3.3985,-11.19931,12.70112,6.49947,2.3,1.89982,9.80001,-13.60001,-0.39999,-7.0,2.39999,-2.0,1.8,4.5,-1.0,5.7,34.6,11.0,3.6,4.90003,0.51999,0.52979,2.59019,5.94003,0.44988,2.00715,-3.20028,0.90017,2.10011,,,,,,,,,,,,,,,,,,,
